brand_name,model,processor_brand,iter,rating,memory_type,gpu_brand,gpu_type,Touch_Screen,os,virtualization_support,linux_compatible,cuda_support,code_compile_benchmark,display_productivity,threads_num,core_num,ram_num,memory_size,display_size,resolutioin_height,ppi,resolutioin_width,warrenty,development_performance_score,price_to_performance,price
Lenovo,Lenovo IdeaPad Slim 3 83ER00F2IN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Intel,Core i5,4.7,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,8.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,36.0,0.77,46899
HP,HP 15-fd0070TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),Intel,Core i5,4.3,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,10.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,40.0,0.87,45990
Acer,Acer Aspire 7 A715-79G UN.34NSI.002 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Intel,Core i5,4.45,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,54.0,0.89,60990
Apple,Apple MacBook Air 13 2024 Laptop (Apple M3/ 16GB/ 256GB SSD/ MacOS),Apple,Other,4.05,SSD,Apple,Integrated,False,Mac,False,False,False,Slow,Fast,17.2,8.0,16.0,256.0,13.6,2560.0,224.51,1664.0,1.0,60.0,0.756,89900
Asus,Asus TUF Gaming A15 FA506NFR-HN259WS Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11 Home / 4GB Graph),AMD,Ryzen 7,4.4,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,58.0,0.97,59990
Acer,Acer Nitro V ANV15-41 UN.QPFSI.002 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph),AMD,Ryzen 5,4.7,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,54.0,0.86,62990
Lenovo,Lenovo LOQ 2024 15IAX9 83GS00CKIN Gaming Laptop (12th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 4GB Graph),Intel,Core i5,4.35,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,24.0,512.0,15.6,1920.0,141.21,1080.0,1.0,62.0,0.98,63190
Colorful,Colorful Evol P15 23-HE55D16512A-W-IND Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Intel,Core i5,4.55,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,2.0,54.0,0.9,59990
Lenovo,Lenovo LOQ 15ARP9 83JC0046IN Gaming Laptop (AMD Ryzen 7 7435H/ 24GB/ 512GB SSD/ Win11/ 8GB RTX 4060 Graph),AMD,Ryzen 7,4.65,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,8.0,24.0,512.0,15.6,1920.0,141.21,1080.0,1.0,66.0,0.72,91190
HP,HP Victus 15-fa1276TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),Intel,Core i7,4.65,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,10.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,62.0,0.69,89990
